수준,날짜 및 시간,원본,이벤트 ID,작업 범주
정보,2025-06-23 오후 9:18:20,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:18:20.232
ProcessGuid: {c00189fc-460a-6859-a35a-000000006900}
ProcessId: 396364
Image: C:\Windows\System32\consent.exe
User: NT AUTHORITY\SYSTEM"
정보,2025-06-23 오후 9:18:17,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:18:17.634
ProcessGuid: {c00189fc-4604-6859-9e5a-000000006900}
ProcessId: 395628
Image: C:\Windows\System32\dllhost.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:18:15,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:18:15.385
ProcessGuid: {c00189fc-444c-6859-705a-000000006900}
ProcessId: 389384
Image: C:\Windows\System32\smartscreen.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:18:13,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:18:13.587
ProcessGuid: {c00189fc-4604-6859-a05a-000000006900}
ProcessId: 396464
Image: C:\Windows\System32\backgroundTaskHost.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:17:44,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:17:44.037
ProcessGuid: {c00189fc-45b2-6859-9c5a-000000006900}
ProcessId: 313804
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:17:44,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:17:44.036
ProcessGuid: {c00189fc-45b2-6859-9d5a-000000006900}
ProcessId: 395652
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:17:19,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:17:19.002
ProcessGuid: {c00189fc-445c-6859-815a-000000006900}
ProcessId: 391556
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:16:55,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:16:55.480
ProcessGuid: {c00189fc-45a0-6859-985a-000000006900}
ProcessId: 394648
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\LOCAL SERVICE"
정보,2025-06-23 오후 9:16:54,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:16:54.468
ProcessGuid: {c00189fc-4579-6859-975a-000000006900}
ProcessId: 392856
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:16:53,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:16:53.917
ProcessGuid: {c00189fc-4576-6859-965a-000000006900}
ProcessId: 394364
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:16:53,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:16:53.903
ProcessGuid: {c00189fc-44c5-6859-885a-000000006900}
ProcessId: 377116
Image: C:\Windows\System32\svchost.exe
User: NT AUTHORITY\SYSTEM"
정보,2025-06-23 오후 9:16:51,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:16:51.086
ProcessGuid: {c00189fc-4457-6859-7b5a-000000006900}
ProcessId: 390648
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:16:51,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:16:51.083
ProcessGuid: {c00189fc-45b1-6859-9b5a-000000006900}
ProcessId: 385516
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
정보,2025-06-23 오후 9:16:51,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2025-06-23 12:16:51.079
ProcessGuid: {c00189fc-4459-6859-805a-000000006900}
ProcessId: 392340
Image: C:\Program Files\Google\Chrome\Application\chrome.exe
User: DESKTOP-GHQF7EL\wah43"
